output	source	band_index	bands_in_source	width	height
p3_pain_jigokudo_jump_fall_crouch_throw.png	pain_sprites_p3_pain_jigokudo_jump_fall_crouch_throw.png	1	1	566	65
p3_pain_jigokudo_lose.png	pain_sprites_p3_pain_jigokudo_lose.png	1	1	88	86
p3_pain_jigokudo_pain_jigokudo_portrait.png	pain_sprites_p3_pain_jigokudo_pain_jigokudo_portrait.png	1	1	326	201
p3_pain_jigokudo_row.png	pain_sprites_p3_pain_jigokudo_row.png	1	1	420	28
p3_pain_jigokudo_row_2.png	pain_sprites_p3_pain_jigokudo_row_2.png	1	1	360	69
p3_pain_jigokudo_row_3.png	pain_sprites_p3_pain_jigokudo_row_3.png	1	1	363	59
p3_pain_jigokudo_row_4.png	pain_sprites_p3_pain_jigokudo_row_4.png	1	1	890	145
p3_pain_jigokudo_row_5.png	pain_sprites_p3_pain_jigokudo_row_5.png	1	1	1062	146
p3_pain_jigokudo_row_6.png	pain_sprites_p3_pain_jigokudo_row_6.png	1	1	1260	237
p3_pain_jigokudo_row_7_row_01.png	pain_sprites_p3_pain_jigokudo_row_7.png	1	2	1009	24
p3_pain_jigokudo_row_7_row_02.png	pain_sprites_p3_pain_jigokudo_row_7.png	2	2	1080	257
p3_pain_jigokudo_row_8_row_01.png	pain_sprites_p3_pain_jigokudo_row_8.png	1	2	756	34
p3_pain_jigokudo_row_8_row_02.png	pain_sprites_p3_pain_jigokudo_row_8.png	2	2	1103	266
p3_pain_jigokudo_run.png	pain_sprites_p3_pain_jigokudo_run.png	1	1	365	51
p3_pain_jigokudo_run_attack.png	pain_sprites_p3_pain_jigokudo_run_attack.png	1	1	325	56
p3_pain_jigokudo_special_attack_king_of_hell_judgment.png	pain_sprites_p3_pain_jigokudo_special_attack_king_of_hell_judgment.png	1	1	1383	230
p3_pain_jigokudo_special_attack_kuchiyose_no_jutsu_king_of_hell_activating_jutsu.png	pain_sprites_p3_pain_jigokudo_special_attack_kuchiyose_no_jutsu_king_of_hell_activating_jutsu.png	1	1	194	64
p3_pain_jigokudo_stance_teleport_block.png	pain_sprites_p3_pain_jigokudo_stance_teleport_block.png	1	1	446	65
p3_pain_jigokudo_win_1.png	pain_sprites_p3_pain_jigokudo_win_1.png	1	1	1104	98
p3_pain_jigokudo_win_2.png	pain_sprites_p3_pain_jigokudo_win_2.png	1	1	1104	98
p3_pain_tendo_air_attack.png	pain_sprites_p3_pain_tendo_air_attack.png	1	1	260	112
p3_pain_tendo_air_attack_i_air_attack_2.png	pain_sprites_p3_pain_tendo_air_attack_i_air_attack_2.png	1	1	550	69
p3_pain_tendo_combo.png	pain_sprites_p3_pain_tendo_combo.png	1	1	752	65
p3_pain_tendo_combo_2.png	pain_sprites_p3_pain_tendo_combo_2.png	1	1	1280	106
p3_pain_tendo_damage.png	pain_sprites_p3_pain_tendo_damage.png	1	1	343	63
p3_pain_tendo_damage_2.png	pain_sprites_p3_pain_tendo_damage_2.png	1	1	251	89
p3_pain_tendo_dash_move_jump_crouch.png	pain_sprites_p3_pain_tendo_dash_move_jump_crouch.png	1	1	452	101
p3_pain_tendo_defeated_special_attack_super_missile.png	pain_sprites_p3_pain_tendo_defeated_special_attack_super_missile.png	1	1	977	45
p3_pain_tendo_down_attack.png	pain_sprites_p3_pain_tendo_down_attack.png	1	1	314	66
p3_pain_tendo_jump_fall_crouch.png	pain_sprites_p3_pain_tendo_jump_fall_crouch.png	1	1	422	64
p3_pain_tendo_portrait.png	pain_sprites_p3_pain_tendo_portrait.png	1	1	273	166
p3_pain_tendo_portraits.png	pain_sprites_p3_pain_tendo_portraits.png	1	1	459	192
p3_pain_tendo_row.png	pain_sprites_p3_pain_tendo_row.png	1	1	255	66
p3_pain_tendo_row_2.png	pain_sprites_p3_pain_tendo_row_2.png	1	1	998	79
p3_pain_tendo_row_3.png	pain_sprites_p3_pain_tendo_row_3.png	1	1	456	26
p3_pain_tendo_row_4.png	pain_sprites_p3_pain_tendo_row_4.png	1	1	628	62
p3_pain_tendo_row_5.png	pain_sprites_p3_pain_tendo_row_5.png	1	1	727	79
p3_pain_tendo_row_6.png	pain_sprites_p3_pain_tendo_row_6.png	1	1	723	38
p3_pain_tendo_row_7.png	pain_sprites_p3_pain_tendo_row_7.png	1	1	702	57
p3_pain_tendo_row_8.png	pain_sprites_p3_pain_tendo_row_8.png	1	1	702	61
p3_pain_tendo_run.png	pain_sprites_p3_pain_tendo_run.png	1	1	401	53
p3_pain_tendo_run_attack.png	pain_sprites_p3_pain_tendo_run_attack.png	1	1	499	73
p3_pain_tendo_special_attack_missile_punch_cttects.png	pain_sprites_p3_pain_tendo_special_attack_missile_punch_cttects.png	1	1	1103	80
p3_pain_tendo_special_attack_rocket_launcher.png	pain_sprites_p3_pain_tendo_special_attack_rocket_launcher.png	1	1	277	66
p3_pain_tendo_stance.png	pain_sprites_p3_pain_tendo_stance.png	1	1	408	95
p3_pain_tendo_stance_teleport_block.png	pain_sprites_p3_pain_tendo_stance_teleport_block.png	1	1	365	68
p3_pain_tendo_transtorm.png	pain_sprites_p3_pain_tendo_transtorm.png	1	1	419	93
p3_pain_tendo_walk_chackra_charge.png	pain_sprites_p3_pain_tendo_walk_chackra_charge.png	1	1	400	68
