name	dur	rms	peak	crest	f0	voiced	gaps	intensity
yamamoto_line_095_0215.0s.mp3	2.67	-12.1	0.5	12.5	195	0.85	1	0.68
yamamoto_line_105_0240.1s.mp3	2.77	-12.4	0.0	12.4	158	0.94	0	0.66
yamamoto_line_115_0259.4s.mp3	2.82	-11.9	-0.2	11.7	168	0.84	0	0.61
yamamoto_line_073_0166.8s.mp3	2.97	-12.6	0.8	13.4	216	0.75	1	0.53
yamamoto_line_002_0002.0s.mp3	3.00	-11.6	0.1	11.7	152	0.91	0	0.64
yamamoto_line_085_0191.2s.mp3	3.03	-11.9	0.1	12.0	165	0.91	0	0.70
yamamoto_line_039_0090.8s.mp3	3.11	-10.8	0.6	11.4	232	0.81	2	0.75
yamamoto_line_150_0333.2s.mp3	3.12	-13.9	-0.3	13.6	152	0.83	1	0.53
yamamoto_line_098_0223.4s.mp3	3.14	-13.6	0.1	13.7	165	0.85	0	0.55
yamamoto_line_103_0235.0s.mp3	3.19	-11.1	-0.1	10.9	162	0.90	0	0.69
yamamoto_line_012_0029.4s.mp3	3.20	-12.5	-0.0	12.5	152	0.88	0	0.56
yamamoto_line_049_0118.0s.mp3	3.24	-11.9	0.4	12.2	188	0.79	0	0.63
yamamoto_line_045_0105.2s.mp3	3.34	-11.7	0.2	11.9	213	0.92	0	0.66
yamamoto_line_005_0010.4s.mp3	3.43	-12.4	0.5	12.9	151	0.75	2	0.63
yamamoto_line_003_0005.5s.mp3	3.74	-12.0	0.2	12.2	165	0.90	0	0.58
yamamoto_line_038_0086.5s.mp3	3.77	-12.6	0.0	12.7	150	0.93	0	0.56
yamamoto_line_121_0268.1s.mp3	3.90	-12.6	0.1	12.7	149	0.83	1	0.59
yamamoto_line_016_0037.1s.mp3	4.05	-13.0	0.1	13.1	154	0.84	1	0.50
yamamoto_line_092_0206.3s.mp3	4.30	-12.1	0.1	12.2	162	0.85	0	0.64
yamamoto_line_026_0062.9s.mp3	4.44	-12.4	0.2	12.7	219	0.90	0	0.65
yamamoto_line_018_0044.7s.mp3	4.55	-11.8	0.1	11.9	158	0.95	0	0.70
yamamoto_line_040_0094.2s.mp3	4.72	-11.7	0.2	11.9	192	0.72	4	0.57
yamamoto_line_046_0109.0s.mp3	4.76	-11.9	0.1	11.9	182	0.83	1	0.61
yamamoto_line_006_0014.1s.mp3	5.34	-11.3	0.5	11.8	224	0.86	2	0.63
yamamoto_line_072_0159.7s.mp3	6.75	-12.9	0.3	13.2	133	0.79	2	0.57
yamamoto_line_147_0316.8s.mp3	11.77	-11.7	0.6	12.4	250	0.75	7	0.60
